"","p","df_1_2","df_1_3","s","support","confidence","lift","count"
"66","I47",NA,NA,"I31",0.0579401234542173,0.349634555505812,2.11182531767575,69507
"67","I31",NA,NA,"I26",0.0579709661688764,0.350150041286528,2.11148376007864,69544
"68","I26",NA,NA,"I31",0.0579709661688764,0.349578007107778,2.11148376007864,69544
"69","I31",NA,NA,"I33",0.0575366674030017,0.34752683624353,2.0976792297556,69023
"70","I33",NA,NA,"I31",0.0575366674030017,0.347292524126272,2.0976792297556,69023
"71","I31",NA,NA,"I29",0.0581026728963393,0.35094556220168,2.11544086662284,69702
"72","I29",NA,NA,"I31",0.0581026728963393,0.350233147083652,2.11544086662284,69702
"73","I31",NA,NA,"I24",0.0579409570411,0.349968783356494,2.11013616448383,69508
"74","I24",NA,NA,"I31",0.0579409570411,0.34935489869874,2.11013616448383,69508
"75","I31",NA,NA,"I43",0.0576033543536159,0.347929631643607,2.09376850360564,69103
"76","I43",NA,NA,"I31",0.0576033543536159,0.346645062905071,2.09376850360564,69103
"77","I31",NA,NA,"I32",0.0577367282548442,0.34873522244376,2.10181104060047,69263
"78","I32",NA,NA,"I31",0.0577367282548442,0.347976588208697,2.10181104060047,69263
"79","I31",NA,NA,"I21",0.0577508992318497,0.348820816466276,2.10328849966083,69280
"80","I21",NA,NA,"I31",0.0577508992318497,0.348221196859576,2.10328849966083,69280
"81","I31",NA,NA,"I39",0.0579259524772118,0.349878154391477,2.10978058913065,69490
"82","I39",NA,NA,"I31",0.0579259524772118,0.349296029515992,2.10978058913065,69490
"83","I31",NA,NA,"I41",0.0580584927915574,0.350678710249129,2.11064010882019,69649
"84","I41",NA,NA,"I31",0.0580584927915574,0.34943833190345,2.11064010882019,69649
"85","I31",NA,NA,"I36",0.0577467312974363,0.348795641753771,2.09842207258381,69275
"86","I36",NA,NA,"I31",0.0577467312974363,0.347415509450805,2.09842207258381,69275
"87","I31",NA,NA,"I48",0.0578400930282961,0.349359555313878,2.10446372151124,69387
"88","I48",NA,NA,"I31",0.0578400930282961,0.348415767009792,2.10446372151124,69387
"89","I31",NA,NA,"I23",0.0580134790998929,0.350406823354077,2.10856995723457,69595
"90","I23",NA,NA,"I31",0.0580134790998929,0.34909559686594,2.10856995723457,69595
"91","I31",NA,NA,"I45",0.0580034760573008,0.350346404044066,2.10981500765741,69583
"92","I45",NA,NA,"I31",0.0580034760573008,0.349301727859603,2.10981500765741,69583
"93","I31",NA,NA,"I35",0.057773406077682,0.348956759913802,2.09987581289255,69307
"94","I35",NA,NA,"I31",0.057773406077682,0.347656191216674,2.09987581289255,69307
"95","I31",NA,NA,"I40",0.0580251493162504,0.350477312549091,2.11095304504038,69609
"96","I40",NA,NA,"I31",0.0580251493162504,0.349490141736079,2.11095304504038,69609
"97","I31",NA,NA,"I37",0.0577592351006765,0.348871165891286,2.09863437246265,69290
"98","I37",NA,NA,"I31",0.0577592351006765,0.347450657894737,2.09863437246265,69290
"99","I31",NA,NA,"I42",0.0580393202932559,0.350562906571607,2.1068037934465,69626
"100","I42",NA,NA,"I31",0.0580393202932559,0.348803190157003,2.1068037934465,69626
"101","I31",NA,NA,"I28",0.0580184806211889,0.350437033009083,2.10800099330514,69601
"102","I28",NA,NA,"I31",0.0580184806211889,0.349001398994128,2.10800099330514,69601
"103","I31",NA,NA,"I49",0.0578259220512906,0.349273961291362,2.1008677638299,69370
"104","I49",NA,NA,"I31",0.0578259220512906,0.347820418968923,2.1008677638299,69370
